calling,calories,heart_monitor,image,period_tracking,price,rating,sleep_tracking,step_counter,title,waterproof,amoled,bluetooth,sports_modes,touchscreen,brand,display_size,battery_days
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/t/5/-original-imahaus36vszfvbe.jpeg?q=70,0,1299,5.3,0,0,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,0,0,1,0,0,3,35.3,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/t/i/-original-imahhyycppzvwxmm.jpeg?q=70,0,999,2.9,0,0,fire-boltt ninja calling pro 42.9mm (1.69) bluetooth ca...,0,0,1,0,0,3,42.9,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/d/z/-original-imahhua54yt6a4hs.jpeg?q=70,0,1199,1.9,0,0,"fire-boltt rise x 1.96 always on display, wireless char...",0,0,0,0,0,3,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/d/c/-original-imahmkznfgnvkg6v.jpeg?q=70,0,1299,1.8,0,0,"fire-boltt rise luxe bluetooth calling 47mm (1.85), met...",0,0,1,0,0,3,47.0,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/j/s/-original-imah4eddxhvzpxhc.jpeg?q=70,0,1399,3.0,0,0,fire-boltt hurricane 33.02mm (1.3) curved glass display...,0,0,0,0,0,3,33.02,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/y/g/-original-imahkewqrcmr7azn.jpeg?q=70,0,1299,1.8,0,0,fastrack revoltt x-1.83'|blazing fast ui|single sync bt...,0,0,0,0,0,4,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/a/a/-original-imahg4y5fyuufv7r.jpeg?q=70,0,2799,1.4,0,0,"goboult saber 1.43"" amoled screen, rotating bezel, 700 ...",0,1,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/u/m/v/-original-imahkyvezfm87juz.jpeg?q=70,0,3999,1.4,0,0,"goboult mustang racer 1.43"" amoled, premium crown, work...",0,1,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/x/v/46-482-m1-android-ios-cellecor-yes-original-imah99vhytdchfhm.jpeg?q=70,0,799,1.8,0,0,"cellecor stew 1.83"" bt calling, 500 nits, ai voice assi...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/q/i/46-482-m1-android-ios-cellecor-yes-original-imah8fuzvehvvhdq.jpeg?q=70,0,799,1.8,0,0,"cellecor stew 1.83"" bt calling, 500 nits, ai voice assi...",0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/h/n/-original-imahkbhuuackgzam.jpeg?q=70,0,1299,1.8,0,0,"fire-boltt ninja blaze 1.83"" hd display stainless steel...",0,0,0,0,0,3,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/s/b/51-054-e5-connect-android-ios-cellecor-yes-original-imahbh2ewgaf3fyg.jpeg?q=70,0,899,2.0,0,0,"cellecor e5 connect 2.01"" ips hd display | 700 nits | b...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/c/v/-original-imahgfkhwaxezxje.jpeg?q=70,0,1799,1.4,0,0,"goboult rover pro 1.43'' amoled display, bt calling, 10...",0,1,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/e/v/-original-imahejyn4nbsgvhc.jpeg?q=70,0,1299,2.0,0,0,"goboult trail 2.01'' 3d curved hd display, working crow...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/i/w/-original-imahhyycafggnfgu.jpeg?q=70,0,999,2.9,0,0,fire-boltt ninja calling pro 42.9mm (1.69) bluetooth ca...,0,0,1,0,0,3,42.9,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/9/d/40-pft500-metal-silver-android-ios-punnkfunnk-yes-original-imahh5sbngmgwhza.jpeg?q=70,0,879,0.0,0,0,punnkfunnk t500 ultra metal silver smartwatch with blue...,0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/s/m/45-21-h9-a1-full-screen-touch-watch-specially-made-for-girl-original-imahgysnzasgkgnu.jpeg?q=70,0,779,0.0,0,0,waunset h9 a1 full screen touch watch specially made fo...,0,0,0,0,1,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/0/f/-original-imahkbhugsdzdnpt.jpeg?q=70,0,1299,1.8,0,0,"fire-boltt ninja blaze 1.83"" hd display stainless steel...",0,0,0,0,0,3,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/w/6/48-514-m4-android-ios-cellecor-yes-original-imah5wrgpkhzbgch.jpeg?q=70,0,799,1.9,0,0,"cellecor 1.91"" hd display | 600 nits | bt-calling | ai ...",0,0,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/i/3/-original-imahgnsvnnkp4vzg.jpeg?q=70,0,999,2.9,0,0,fire-boltt ninja calling pro 42.9mm (1.69) bluetooth ca...,0,0,1,0,0,3,42.9,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/2/u/-original-imagsbyf5f4yzu5u.jpeg?q=70,0,1299,5.3,0,0,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,0,0,1,0,0,3,35.3,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/m/b/-original-imagxavwxzc9taw4.jpeg?q=70,0,1499,1.3,0,0,fastrack revoltt xr1-1.38|bt calling|fast charge|100+ s...,0,0,0,0,0,4,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/h/t/-original-imahjkzuxbfzt6kv.jpeg?q=70,0,999,5.3,0,0,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/m/b/-original-imahaus3vq32qzfe.jpeg?q=70,0,1099,5.3,0,0,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,0,0,1,0,0,3,35.3,7
