calling,calories,heart_monitor,image,period_tracking,price,rating,sleep_tracking,step_counter,title,waterproof
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/i/w/-original-imahhyycafggnfgu.jpeg?q=70,No,₹999,2.9,No,No,fire-boltt ninja calling pro 42.9mm (1.69) bluetooth ca...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/9/d/40-pft500-metal-silver-android-ios-punnkfunnk-yes-original-imahh5sbngmgwhza.jpeg?q=70,No,₹879,0,No,No,punnkfunnk t500 ultra metal silver smartwatch with blue...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/s/m/45-21-h9-a1-full-screen-touch-watch-specially-made-for-girl-original-imahgysnzasgkgnu.jpeg?q=70,No,₹779,0,No,No,waunset h9 a1 full screen touch watch specially made fo...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/0/f/-original-imahkbhugsdzdnpt.jpeg?q=70,No,"₹1,299",1.8,No,No,"fire-boltt ninja blaze 1.83"" hd display stainless steel...",No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/w/6/48-514-m4-android-ios-cellecor-yes-original-imah5wrgpkhzbgch.jpeg?q=70,No,₹799,1.9,No,No,"cellecor 1.91"" hd display | 600 nits | bt-calling | ai ...",No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/i/3/-original-imahgnsvnnkp4vzg.jpeg?q=70,No,₹999,2.9,No,No,fire-boltt ninja calling pro 42.9mm (1.69) bluetooth ca...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/2/u/-original-imagsbyf5f4yzu5u.jpeg?q=70,No,"₹1,299",5.3,No,No,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/m/b/-original-imagxavwxzc9taw4.jpeg?q=70,No,"₹1,499",1.3,No,No,fastrack revoltt xr1-1.38|bt calling|fast charge|100+ s...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/h/t/-original-imahjkzuxbfzt6kv.jpeg?q=70,No,₹999,5.3,No,No,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/m/b/-original-imahaus3vq32qzfe.jpeg?q=70,No,"₹1,099",5.3,No,No,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/y/a/-original-imagx8nchmehzu5v.jpeg?q=70,No,"₹1,499",1.3,No,No,fastrack xr1-1.38|bt calling|fast charge|100+ sports mo...,No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/r/1/-original-imahd2re5x9emgaz.jpeg?q=70,No,"₹1,099",5.3,No,No,fire-boltt talk 35.3mm (1.39) bluetooth calling with sp...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/b/6/-original-imahjkzuwggdxwvm.jpeg?q=70,No,"₹1,399",5.3,No,No,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/m/i/-original-imahkewqxuf7gkfe.jpeg?q=70,No,"₹1,499",1.8,No,No,fastrack revoltt x-1.83|blazing fast ui|single sync bt ...,No
No,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/0/q/49-edge-lite-black-007-android-ios-qamanta-yes-original-imahgx3yd5b4njpx.jpeg?q=70,No,₹862,1.9,No,No,"punnkfunnk edge-lite | 1.99 "" amoled display | bt calli...",No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/a/o/-original-imagvpakxrhuxywz.jpeg?q=70,No,"₹1,399",1.8,No,No,fastrack revoltt fs1-1.83''|bt calling|fast charge|110+...,No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/c/0/-original-imahcf2uyr59xxff.jpeg?q=70,No,"₹1,299",5.3,No,No,fire-boltt talk 35.3mm (1.39) bluetooth calling with sp...,No
Yes,No,No,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/j/x/p/-original-imagvpakjgykcytm.jpeg?q=70,No,"₹1,399",1.8,No,No,fastrack fs1-1.83''|bt calling|fast charge|110+ sports ...,No
